signals_category_id;name;slug;handling_message
81;Offentligt grønt og vand;openbaar-groen-en-water;Vi gennemgår din anmeldelse og sikrer, at den rigtige del af kommunen håndterer den. Har du efterladt kontaktoplysninger? Vi kontakter dig herefter, hvis der er usikkerhed.
135;Ladestation;oplaadpunt;Tekniske fejl rapporteres normalt automatisk og løses inden for få dage. Det kan tage op til tre uger at besvare spørgsmål. Vi holder dig orienteret via e-mail.
76;Andre;overig;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
86;Andre;overig;Vi gennemgår din anmeldelse og sikrer, at den rigtige del af kommunen håndterer den. Har du efterladt kontaktoplysninger? Vi kontakter dig herefter, hvis der er usikkerhed.
68;Andre virksomheder / cateringbranche;overig-horecabedrijven;Vi gennemgår din anmeldelse og sikrer, at den rigtige del af kommunen håndterer den. Har du efterladt kontaktoplysninger? Vi kontakter dig herefter, hvis der er usikkerhed.
52;Andre dyr;overig-dieren;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
45;Andet grønt og vand;overig-groen-en-water;Vi gennemgår din anmeldelse og sikrer, at den rigtige del af kommunen håndterer den. Har du efterladt kontaktoplysninger? Vi kontakter dig herefter, hvis der er usikkerhed.
39;Andet offentligt rum;overig-openbare-ruimte;"Vi vil fortælle dig, hvad vi har gjort inden for 3 uger. Ellers vil du få at vide, hvornår vi kan svare på din anmeldelse.
Vi holder dig orienteret via e-mail."
75;Andre både;overig-boten;"Vi videregiver din rapport til vores håndhævere. De vurderer, om det er nødvendigt at gribe ind med det samme. For eksempel fordi der lækker olie, eller fordi situationen udgør en fare for andre både.

Hvis der ikke er behov for øjeblikkelig handling, vil vi reagere på din rapport uden for sejlsæsonen (september - marts).
"
100;Andre tjenester;overige-dienstverlening;Vi gennemgår din anmeldelse og sikrer, at den rigtige del af kommunen håndterer den. Har du efterladt kontaktoplysninger? Vi kontakter dig herefter, hvis der er usikkerhed.
55;Anden gener forårsaget af mennesker;overige-overlast-door-personen;Vi gennemgår din anmeldelse og sikrer, at den rigtige del af kommunen håndterer den. Har du efterladt kontaktoplysninger? Vi kontakter dig herefter, hvis der er usikkerhed.
84;Gener for virksomheder og catering;overlast-bedrijven-en-horeca;Vi gennemgår din anmeldelse og sikrer, at den rigtige del af kommunen håndterer den. Har du efterladt kontaktoplysninger? Vi kontakter dig herefter, hvis der er usikkerhed.
54;Gener forårsaget af fyrværkeri;overlast-door-afsteken-vuurwerk;"Vi giver dig besked om, hvad vi har lavet inden for 3 hverdage. Ellers vil du få at vide, hvornår vi kan svare på din anmeldelse.
Vi holder dig orienteret via e-mail."
67;Gener af besøgende (ikke på terrassen);overlast-door-bezoekers-niet-op-terras;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
80;Gener i offentlige rum;overlast-in-de-openbare-ruimte;Vi gennemgår din anmeldelse og sikrer, at den rigtige del af kommunen håndterer den. Har du efterladt kontaktoplysninger? Vi kontakter dig herefter, hvis der er usikkerhed.
85;Gener på vandet;overlast-op-het-water;Vi gennemgår din anmeldelse og sikrer, at den rigtige del af kommunen håndterer den. Har du efterladt kontaktoplysninger? Vi kontakter dig herefter, hvis der er usikkerhed.
70;Gener på vandet - Sejladfærd;overlast-op-het-water-vaargedrag;"Vi videregiver din indberetning til ordensmagten. Hvis det er muligt, griber de straks ind, men de kan ikke altid være der hurtigt nok.

Fortsæt venligst med at rapportere gener til os. Også selvom vi ikke altid kan gøre noget for dig med det samme. Vi bruger alle indberetninger til at begrænse gener i fremtiden."
64;Generende terrasser;overlast-terrassen;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
82;Dyregener;overlast-van-dieren;Vi gennemgår din anmeldelse og sikrer, at den rigtige del af kommunen håndterer den. Har du efterladt kontaktoplysninger? Vi kontakter dig herefter, hvis der er usikkerhed.
83;Gener fra og af personer eller grupper;overlast-van-en-door-personen-of-groepen;Vi gennemgår din anmeldelse og sikrer, at den rigtige del af kommunen håndterer den. Har du efterladt kontaktoplysninger? Vi kontakter dig herefter, hvis der er usikkerhed.
57;Gener fra taxaer, busser og cykeltaxier;overlast-van-taxis-bussen-en-fietstaxis;"Vi giver dig besked om, hvad vi har lavet inden for 3 hverdage. Ellers vil du få at vide, hvornår vi kan svare på din anmeldelse.
Vi holder dig orienteret via e-mail."
74;Gener fra vandet;overlast-vanaf-het-water;"Vi videregiver din indberetning til ordensmagten. Hvis det er muligt, griber de straks ind, men de kan ikke altid være der hurtigt nok.

Fortsæt venligst med at rapportere gener til os. Også selvom vi ikke altid kan gøre noget for dig med det samme. Vi bruger alle indberetninger til at begrænse gener i fremtiden."
95;Parkeringshenvisningssystem;parkeer-verwijssysteem;"Vi behandler din anmeldelse inden for tre uger. Du vil så ikke længere modtage en separat besked.
Ellers hører du - via e-mail - hvornår vi kan svare på din anmeldelse."
126;Parkeringsmeter;parkeerautomaten;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
30;Parkeringsgener;parkeeroverlast;"Vi giver dig besked om, hvad vi har lavet inden for 3 hverdage. Ellers vil du få at vide, hvornår vi kan svare på din anmeldelse.
Vi holder dig orienteret via e-mail."
56;Folk på vandet;personen-op-het-water;"Vi giver dig besked om, hvad vi har lavet inden for 3 hverdage. Ellers vil du få at vide, hvornår vi kan svare på din anmeldelse.
Vi holder dig orienteret via e-mail."
9;Skraldespanden er gået i stykker;prullenbak-is-kapot;"Vi giver dig besked om, hvad vi har lavet inden for 3 hverdage. Ellers vil du få at vide, hvornår vi kan svare på din anmeldelse.
Vi holder dig orienteret via e-mail."
149;Skraldespanden er gået i stykker;prullenbak-kapot;"Vi behandler din anmeldelse inden for tre hverdage. Du vil så ikke længere modtage en separat besked.
Ellers hører du - via e-mail - hvornår vi kan svare på din anmeldelse."
150;Skraldespanden er gået i stykker;prullenbakkapot;"Vi behandler din anmeldelse inden for tre hverdage. Du vil så ikke længere modtage en separat besked.
Ellers hører du - via e-mail - hvornår vi kan svare på din anmeldelse."
148;Papirkurven er fuld;prullenbak-vol;"Vi behandler din anmeldelse inden for tre hverdage. Du vil så ikke længere modtage en separat besked.
Ellers hører du - via e-mail - hvornår vi kan svare på din anmeldelse."
7;Papirkurven er fuld;prullenbak-is-vol;"Vi behandler din anmeldelse inden for tre hverdage. Du vil så ikke længere modtage en separat besked.
Ellers hører du - via e-mail - hvornår vi kan svare på din anmeldelse."
5;Murbrokker/nedrivningsaffald;puin-sloopafval;"Vi giver dig besked om, hvad vi har lavet inden for 3 hverdage. Ellers vil du få at vide, hvornår vi kan svare på din anmeldelse.
Vi holder dig orienteret via e-mail."
21;Brønd/kloak tilstoppet;put-riolering-verstopt;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
46;Rotter;ratten;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
104;Smuk;schoon;Vi gennemgår din anmeldelse og sikrer, at den rigtige del af kommunen håndterer den. Har du efterladt kontaktoplysninger? Vi kontakter dig herefter, hvis der er usikkerhed.
142;Låse;sluis;Vi vurderer din rapport. Vi reagerer på hastemeldinger så hurtigt som muligt. Vi behandler andre rapporter inden for en uge. Vi holder dig orienteret via e-mail.
69;Sejler hurtigt;overlast-op-het-water-snel-varen;"Vi videregiver din indberetning til ordensmagten. Hvis det er muligt, griber de straks ind, men de kan ikke altid være der hurtigt nok.

Fortsæt venligst med at rapportere gener til os. Også selvom vi ikke altid kan gøre noget for dig med det samme. Vi bruger alle indberetninger til at begrænse gener i fremtiden."
111;Beskæring;snoeien;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
23;Sportsfaciliteter;sportvoorziening;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
96;Bykort;stadsplattegronden;"Vi behandler din anmeldelse inden for tre uger. Du vil så ikke længere modtage en separat besked.
Ellers hører du - via e-mail - hvornår vi kan svare på din anmeldelse."
65;Stank i catering/virksomheder;stank-horecabedrijven;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
32;Lugt/støjforurening;stank-geluidsoverlast;"Vi vil fortælle dig, hvad vi har gjort inden for 3 uger. Ellers vil du få at vide, hvornår vi kan svare på din anmeldelse.
Vi holder dig orienteret via e-mail."
66;Lugtgener;stankoverlast;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
119;Anløbsbro;steiger;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
19;Gademøbler;straatmeubilair;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
103;Gadebelysning;lantaarnpaal-straatverlichting;Problemer med offentlig belysning kan normalt repareres inden for 21 hverdage. I tilfælde af farlige situationer behandles anmeldelsen straks.
24;Gadebelysning / offentligt ur;straatverlichting-openbare-klok;Vi vil løse farlige situationer så hurtigt som muligt, andre situationer kan tage lidt længere tid. Vi kan desværre ikke altid holde dig orienteret om dette.
136;Midlertidige trafikale foranstaltninger;tijdelijke-verkeersmaatregelen;"Vi behandler din anmeldelse inden for tre hverdage. Du vil så ikke længere modtage en separat besked.
Ellers hører du - via e-mail - hvornår vi kan svare på din anmeldelse."
36;Afføring;hondenpoep;"Vi vil fortælle dig, hvad vi har gjort inden for 3 uger. Ellers vil du få at vide, hvornår vi kan svare på din anmeldelse.
Vi holder dig orienteret via e-mail."
138;Afføring;uitwerpselen;"Vi vil fortælle dig, hvad vi har gjort inden for 3 uger. Ellers vil du få at vide, hvornår vi kan svare på din anmeldelse.
Vi holder dig orienteret via e-mail."
124;Ferieudlejning;vakantieverhuur;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
1;Fejning/affald;veeg-zwerfvuil;"Vi behandler din anmeldelse inden for tre hverdage. Du vil så ikke længere modtage en separat besked.
Ellers hører du - via e-mail - hvornår vi kan svare på din anmeldelse."
147;Fejning/affald;veegzwerfvuil;"Vi behandler din anmeldelse inden for tre hverdage. Du vil så ikke længere modtage en separat besked.
Ellers hører du - via e-mail - hvornår vi kan svare på din anmeldelse."
97;Fordelingsbokse / kabling;verdeelkasten-bekabeling;"Vi behandler din anmeldelse inden for tre uger. Du vil så ikke længere modtage en separat besked.
Ellers hører du - via e-mail - hvornår vi kan svare på din anmeldelse."
15;Trafikskilt / trafikafspærring;verkeersbord-verkeersafzetting;"Vi behandler din anmeldelse inden for tre hverdage. Du vil så ikke længere modtage en separat besked.
Ellers hører du - via e-mail - hvornår vi kan svare på din anmeldelse."
122;Kloakering - tilstoppet kloak;riolering-verstopte-kolk;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
26;Trafiklys;verkeerslicht;"Vi løser farlige situationer så hurtigt som muligt, andre situationer håndterer vi normalt inden for 5 hverdage. Du vil så ikke længere modtage en separat besked.
Kan vi ikke håndtere din anmeldelse inden for 5 hverdage, hører du - via e-mail - hvordan vi håndterer din anmeldelse."
102;Trafikgener;verkeersoverlast;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
28;Trafikgener / Trafiksituationer;verkeersoverlast-verkeerssituaties;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
101;Trafiksituationer;verkeerssituaties;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
98;Lysnetsvigt;verlichting-netstoring;"Vi løser farlige situationer så hurtigt som muligt, andre situationer håndterer vi normalt inden for 5 hverdage. Du vil så ikke længere modtage en separat besked.
Kan vi ikke håndtere din anmeldelse inden for 5 hverdage, hører du - via e-mail - hvordan vi håndterer din anmeldelse."
99;Formode;vermoeden;Tak for din rapport. Vi inddrager disse i vores forskning.
120;Nedsænkning af kajer;verzakking-kades;Din rapport vil blive planlagt: vi giver dig besked inden for 5 arbejdsdage, hvordan og hvornår din rapport vil blive håndteret. Det gør vi via e-mail.
